number,state,value,datetime_start,datetime_complete,duration_seconds,param_alignment.n_components,param_encoding.ridge_alpha,user_attrs_json
10,PRUNED,0.159676808119,2026-06-03T17:08:14.163260,2026-06-03T17:08:53.697464,39.534204,20,70141.09129011331,"{""fold_scores"": {""1"": 0.1579330712556839, ""2"": 0.133297860622406, ""3"": 0.13369238376617432, ""4"": 0.1314714550971985, ""5"": 0.24198926985263824}, ""pruned_after_fold"": 5}"
11,COMPLETE,0.156408779323,2026-06-03T17:08:53.714353,2026-06-03T17:09:42.816575,49.102222,95,1020.0683511246339,"{""fold_scores"": {""1"": 0.15545296669006348, ""2"": 0.1326315999031067, ""3"": 0.13185423612594604, ""4"": 0.13787594437599182, ""5"": 0.2476988136768341, ""6"": 0.13293911516666412}, ""objective_metric"": ""median_r"", ""trial_seconds"": 49.01128268241882}"
12,COMPLETE,0.157492334644,2026-06-03T17:09:42.832336,2026-06-03T17:10:31.888510,49.056174,130,9000.3826688331,"{""fold_scores"": {""1"": 0.15845003724098206, ""2"": 0.13442693650722504, ""3"": 0.13350480794906616, ""4"": 0.1380881816148758, ""5"": 0.2476496547460556, ""6"": 0.13283438980579376}, ""objective_metric"": ""median_r"", ""trial_seconds"": 48.96243166923523}"
13,PRUNED,0.160893002152,2026-06-03T17:10:31.903675,2026-06-03T17:11:12.803521,40.899846,90,72653.74984556896,"{""fold_scores"": {""1"": 0.15770027041435242, ""2"": 0.13622796535491943, ""3"": 0.12997865676879883, ""4"": 0.13637007772922516, ""5"": 0.24418804049491882}, ""pruned_after_fold"": 5}"
14,COMPLETE,0.157511730989,2026-06-03T17:11:12.819693,2026-06-03T17:12:01.964129,49.144436,155,7944.022268707277,"{""fold_scores"": {""1"": 0.1584227830171585, ""2"": 0.1343580186367035, ""3"": 0.1336039900779724, ""4"": 0.13808931410312653, ""5"": 0.24777764081954956, ""6"": 0.13281863927841187}, ""objective_metric"": ""median_r"", ""trial_seconds"": 49.05392861366272}"
15,PRUNED,0.160877946019,2026-06-03T17:12:01.984009,2026-06-03T17:12:42.888794,40.904785,160,230.8479493870433,"{""fold_scores"": {""1"": 0.1550707370042801, ""2"": 0.13172361254692078, ""3"": 0.13117025792598724, ""4"": 0.13852062821388245, ""5"": 0.24790449440479279}, ""pruned_after_fold"": 5}"
16,COMPLETE,0.157424857219,2026-06-03T17:12:42.903046,2026-06-03T17:13:32.047618,49.144572,155,5151.072950870924,"{""fold_scores"": {""1"": 0.15783824026584625, ""2"": 0.13408809900283813, ""3"": 0.13330110907554626, ""4"": 0.13821262121200562, ""5"": 0.24804121255874634, ""6"": 0.13306786119937897}, ""objective_metric"": ""median_r"", ""trial_seconds"": 49.051636934280396}"
17,PRUNED,0.160873427987,2026-06-03T17:13:32.063033,2026-06-03T17:14:13.062511,40.999478,75,61.45461538582612,"{""fold_scores"": {""1"": 0.15452395379543304, ""2"": 0.13155245780944824, ""3"": 0.13083413243293762, ""4"": 0.13945195078849792, ""5"": 0.24800464510917664}, ""pruned_after_fold"": 5}"
18,PRUNED,0.16085883975,2026-06-03T17:14:13.078044,2026-06-03T17:14:52.783693,39.705649,20,11375.243341677215,"{""fold_scores"": {""1"": 0.15796445310115814, ""2"": 0.13246199488639832, ""3"": 0.1358574479818344, ""4"": 0.13250145316123962, ""5"": 0.2455088496208191}, ""pruned_after_fold"": 5}"
19,COMPLETE,0.15660931915,2026-06-03T17:14:52.795809,2026-06-03T17:15:41.972583,49.176774,115,1891.5509460834785,"{""fold_scores"": {""1"": 0.15601882338523865, ""2"": 0.1330031156539917, ""3"": 0.13216373324394226, ""4"": 0.13785818219184875, ""5"": 0.24769656360149384, ""6"": 0.13291549682617188}, ""objective_metric"": ""median_r"", ""trial_seconds"": 49.0848023891449}"
